linkPVID, refSlope, probeSlope, diff
67948598, 0.963875, 0.011177, 0.952698
565390474, -1.556111, -2.121616, 0.565505
760305995, 4.105788, 0.048159, 4.057629
554808748, -0.238642, -0.036984, -0.201658
792528499, -0.359250, -2.348715, 1.989465
762228010, -0.182500, 0.077131, -0.259631
586531375, -0.137600, 0.030261, -0.167861
572232109, 0.013000, 65.142343, -65.129343
51579382, -2.339667, 1.172317, -3.511983
554711268, -0.698316, 0.013482, -0.711798
67898463, -0.114200, 0.066967, -0.181167
554743310, 0.198833, 0.158082, 0.040751
724664913, 0.022667, 0.062721, -0.040054
724660086, -0.072696, -0.065144, -0.007551
724618861, -0.078673, 0.426744, -0.505417
711798156, -0.254167, 0.021044, -0.275210
554712892, 0.233667, -0.004080, 0.237746
769281592, -0.146286, 0.075334, -0.221620
724498365, -0.108364, 0.119201, -0.227565
67948018, -0.241889, 0.120459, -0.362348
572219551, 0.112053, 0.011642, 0.100410
783404976, 0.338333, 0.000000, 0.338333
554713753, 0.301091, -0.037944, 0.339035
51921719, 0.339875, 0.121918, 0.217957
724664911, 0.055818, 0.070023, -0.014205
724749296, -0.081115, -0.123918, 0.042803
572247792, 0.031588, 0.002773, 0.028815
554743284, 0.070143, 0.180530, -0.110388
554743285, -0.555737, -0.034021, -0.521715
51921843, -0.110167, -0.013897, -0.096270
792860117, 0.094022, -0.103613, 0.197635
586501989, -0.047500, 0.000000, -0.047500
586497141, -0.071812, -0.100389, 0.028576
586516005, -0.066391, -1.707609, 1.641218
792803154, -0.579062, 0.043668, -0.622731
783442108, 0.403636, -0.019654, 0.423290
783442101, -3.051857, 0.064939, -3.116796
67212070, -1.880400, 56.071342, -57.951742
769144424, 0.157200, 0.046751, 0.110449
769137813, 0.638111, -0.096536, 0.734647
51757882, -0.290800, 0.071013, -0.361813
554732992, -0.376833, -0.029884, -0.346949
726176157, 0.156474, 0.095387, 0.061086
67948820, -0.062200, 0.000000, -0.062200
554709816, -0.144426, 0.007870, -0.152295
724084466, -0.074609, -0.662892, 0.588283
540670945, -0.841857, 0.041804, -0.883661
586485278, 1.273750, 0.000000, 1.273750
68016457, -0.246500, 0.347996, -0.594496
586500972, -0.204729, 0.120472, -0.325201
792584420, 0.231667, 0.000000, 0.231667
724102311, -0.279110, 0.089413, -0.368522
723476484, -0.762000, 1.238347, -2.000347
723476488, 1.437250, 0.045918, 1.391332
771913608, -0.208429, 0.000000, -0.208429
51581000, 0.529750, -0.026026, 0.555776
792655621, -0.515333, -0.073228, -0.442106
554710772, -0.625944, -0.017971, -0.607974
769248907, 0.347545, -0.032143, 0.379688
79663940, -0.925000, -0.013651, -0.911349
762932496, 0.473615, -0.462899, 0.936515
68006238, -1.070833, 0.052616, -1.123449
78655536, 0.006667, 80.633796, -80.627129
576423751, 0.292138, -0.121704, 0.413842
732990644, -0.966143, -0.056564, -0.909579
769277519, 0.023667, 0.101886, -0.078219
773196696, 0.624500, 0.000000, 0.624500
68025215, -0.163645, -0.018841, -0.144804
68124366, -0.354000, 0.082719, -0.436719
783445211, -0.588500, -0.002443, -0.586057
80686247, 0.744000, 1.133268, -0.389268
727971321, 0.177167, -0.094062, 0.271229
727971304, -0.658625, -0.071953, -0.586672
79803237, -0.269625, 0.100555, -0.370180
783452367, 0.101167, 0.029000, 0.072166
554734683, 0.099000, -0.051121, 0.150121
51808348, -0.010250, 0.012954, -0.023204
67944269, 0.160800, -0.058792, 0.219592
74866580, 0.432200, 0.000000, 0.432200
792687832, -0.529200, -0.057150, -0.472050
67958764, -0.115167, -0.049981, -0.065186
792455096, -1.672000, 0.415421, -2.087421
766637947, -0.157800, -0.031903, -0.125897
68105713, -0.060800, -0.114424, 0.053624
554721663, 0.066400, -13.866234, 13.932634
67940669, 0.188000, -0.056321, 0.244321
725007165, -0.008400, 0.048411, -0.056811
586486701, -0.090500, 0.000000, -0.090500
767358406, 0.215769, 0.037925, 0.177844
51877170, -0.153769, -0.493068, 0.339299
572218638, 0.429353, 0.010089, 0.419264
572217343, -1.316000, 0.188301, -1.504301
783452252, -0.226000, -0.031931, -0.194069
554712240, -0.171333, 0.075833, -0.247166
724414759, -0.072000, 0.378189, -0.450189
586499425, 0.715000, -0.064089, 0.779089
51925903, -0.214833, -0.003765, -0.211068
67905345, 1.244500, -0.033150, 1.277650
554710095, -0.396364, -0.048958, -0.347406
79896573, -0.540667, 0.012430, -0.553096
51729162, 0.172500, -0.022683, 0.195183
586832899, -0.955000, -0.069859, -0.885141
74870435, 0.133833, -0.006700, 0.140534
772897537, -0.257615, 0.093770, -0.351385
554737980, 0.319000, 0.000000, 0.319000
723634444, 1.053909, 7.736027, -6.682117
554732200, 0.534187, -0.089038, 0.623226
554732207, 0.000364, -0.077138, 0.077501
67899250, -0.103000, -11.276452, 11.173452
727929992, -0.432800, 74.587394, -75.020194
67946015, 1.221000, -0.411362, 1.632362
67942159, -0.048750, -0.389471, 0.340721
51875057, 0.088313, 0.042602, 0.045711
765106174, -3.386577, 0.090411, -3.476988
772417294, -0.169923, 0.026912, -0.196835
761215017, 0.727000, 0.039345, 0.687655
723582117, -0.825038, 0.284784, -1.109823
67988058, -1.479667, 0.422003, -1.901670
769206623, -0.867250, 0.082907, -0.950157
51789758, 0.002750, -70.926814, 70.929564
68025216, -0.145793, 0.074430, -0.220224
67895918, 0.491182, 0.069424, 0.421758
769269448, 0.277444, 0.002149, 0.275296
554725693, -0.774480, 0.382012, -1.156492
550096974, -2.747667, -0.090758, -2.656909
51559716, -0.203529, -0.041525, -0.162005
565436610, 0.270654, -0.087234, 0.357888
586816114, -1.241818, -0.050674, -1.191144
554775556, -0.592300, -0.058399, -0.533901
762982809, 0.058500, 0.002735, 0.055765
62085723, -0.764800, -0.472589, -0.292211
67193512, -0.090304, 0.039949, -0.130253
51758052, 1.018545, 0.000000, 1.018545
765984540, 2.654500, 0.035873, 2.618627
769317324, -0.695818, 0.000000, -0.695818
76217028, -2.045167, -0.096675, -1.948491
723586018, -0.123700, -0.083172, -0.040528
723590432, 0.448742, -0.009712, 0.458454
67945922, 0.254600, -0.041106, 0.295706
727938242, -0.224750, 0.068875, -0.293625
554709817, -0.000362, 0.069566, -0.069927
554709822, 0.346600, 0.093856, 0.252744
769206620, -0.321714, -0.074858, -0.246856
67944358, -2.017200, -0.112464, -1.904736
554709833, 0.842000, 0.133003, 0.708997
759391127, 0.007111, -0.042516, 0.049627
766850672, -0.014750, -0.167846, 0.153096
587010721, -1.605478, -0.087212, -1.518266
76164737, -1.519750, 0.995181, -2.514931
